customer_id,age,city,website_visits,instagram_engagement,interested_model,ad_clicks,brochure_download,income_lpa,configurator_used,test_drive,purchase,cluster,persona,intent_score,journey_stage,next_action
1,60,Gurgaon,14,74,BMW X3,14,0,85.64771103357842,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
2,50,Pune,38,7,BMW X5,8,0,66.49998204738932,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
3,36,Mumbai,32,7,BMW i4,13,0,58.96433460114373,1,1,0,2,Window Shopper,10,Hot Lead,Immediate Sales Call
4,64,Mumbai,23,4,BMW X5,0,0,89.98045116708303,1,1,0,0,Luxury Veteran,10,Hot Lead,Immediate Sales Call
5,29,Delhi,37,70,BMW i4,0,0,52.80095204090969,1,1,1,1,Aspiring Techie,10,Buyer,Service Package Offer
6,42,Gurgaon,3,85,BMW 3 Series,4,1,57.86401563628066,0,0,0,1,Aspiring Techie,5,Cold Lead,Brand Awareness
7,60,Bangalore,35,99,BMW 3 Series,4,0,73.68366757714234,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
8,40,Bangalore,13,1,BMW X3,10,0,62.825396978344656,0,0,0,2,Window Shopper,0,Cold Lead,Brand Awareness
9,44,Mumbai,34,87,BMW X5,7,0,68.26690943902676,1,1,1,1,Aspiring Techie,10,Buyer,Service Package Offer
10,32,Pune,24,50,BMW 3 Series,6,0,36.81337151337773,1,1,0,2,Window Shopper,10,Hot Lead,Immediate Sales Call
11,32,Mumbai,1,65,BMW X1,10,1,51.229755475207554,0,0,0,1,Aspiring Techie,5,Cold Lead,Brand Awareness
12,45,Delhi,12,11,BMW 3 Series,2,0,65.55722117553292,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
13,57,Pune,8,46,BMW 3 Series,7,0,75.68149662386841,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
14,61,Bangalore,19,54,BMW X5,13,1,90.98116145416859,0,0,1,0,Luxury Veteran,5,Buyer,Service Package Offer
15,45,Gurgaon,9,25,BMW i4,3,1,61.884302517667436,0,0,1,2,Window Shopper,5,Buyer,Service Package Offer
16,24,Gurgaon,28,44,BMW X1,2,1,47.3129634404034,1,1,1,2,Window Shopper,15,Buyer,Service Package Offer
17,43,Delhi,14,61,BMW X1,1,0,66.29210035666256,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
18,23,Mumbai,27,69,BMW i4,8,0,41.184892012438894,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
19,45,Delhi,18,86,BMW X5,13,0,66.43429158737518,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
20,51,Gurgaon,6,1,BMW 3 Series,11,0,74.86377512167599,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
21,59,Bangalore,33,25,BMW i4,6,0,77.82752245281807,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
22,23,Gurgaon,37,13,BMW X1,4,1,31.618575130778293,1,0,0,2,Window Shopper,15,Warm Lead,Personalized Email
23,42,Pune,25,81,BMW X1,8,0,68.90156364633347,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
24,54,Gurgaon,13,56,BMW 3 Series,2,0,71.9626494249305,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
25,33,Gurgaon,23,31,BMW 3 Series,12,0,48.53933438499709,1,1,1,2,Window Shopper,10,Buyer,Service Package Offer
26,43,Pune,36,61,BMW X3,12,0,54.89446984644454,1,1,1,1,Aspiring Techie,10,Buyer,Service Package Offer
27,46,Mumbai,33,77,BMW i4,12,0,68.29149216322506,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
28,48,Gurgaon,21,29,BMW 3 Series,5,1,62.29231156260384,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
29,63,Delhi,34,12,BMW X3,7,1,87.67387883746676,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
30,49,Gurgaon,36,39,BMW X5,8,0,67.18230427906278,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
31,37,Delhi,17,30,BMW X1,3,1,55.55785575448729,0,0,0,2,Window Shopper,5,Aware,Retargeting Ads
32,36,Pune,10,36,BMW i4,0,0,61.64939708342787,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
33,24,Gurgaon,23,44,BMW X5,7,0,33.134537807755684,1,0,0,2,Window Shopper,10,Aware,Retargeting Ads
34,58,Pune,2,85,BMW i4,9,0,77.01801441324079,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
35,28,Pune,35,58,BMW i4,2,0,39.75125248571324,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
36,42,Mumbai,14,27,BMW 3 Series,5,1,62.87226212023305,0,0,1,2,Window Shopper,5,Buyer,Service Package Offer
37,30,Gurgaon,2,60,BMW X3,3,0,48.06840196134772,0,0,0,1,Aspiring Techie,0,Cold Lead,Brand Awareness
38,60,Delhi,19,18,BMW i4,5,0,80.91869084560292,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
39,39,Delhi,16,42,BMW X5,11,1,62.67027228796209,0,0,0,2,Window Shopper,5,Aware,Retargeting Ads
40,25,Gurgaon,25,58,BMW i4,2,0,40.13867403106357,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
41,46,Mumbai,1,15,BMW X3,6,0,62.14822826433506,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
42,35,Mumbai,2,68,BMW X1,1,0,58.597255448667894,0,0,0,1,Aspiring Techie,0,Cold Lead,Brand Awareness
43,30,Mumbai,27,43,BMW i4,4,0,44.807520848416175,1,1,0,2,Window Shopper,10,Hot Lead,Immediate Sales Call
44,47,Delhi,2,65,BMW X5,2,0,65.55956259414906,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
45,23,Pune,30,9,BMW X1,4,1,37.17333642461415,1,1,0,2,Window Shopper,15,Hot Lead,Immediate Sales Call
46,41,Mumbai,10,46,BMW X1,2,0,60.32113277381474,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
47,49,Delhi,19,18,BMW 3 Series,8,0,74.73498600296254,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
48,28,Delhi,16,83,BMW 3 Series,7,0,48.061317087014075,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
49,29,Pune,13,92,BMW i4,13,0,47.904944764944005,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
50,56,Gurgaon,8,88,BMW X5,1,1,72.35653588257206,0,0,0,0,Luxury Veteran,5,Cold Lead,Brand Awareness
51,35,Gurgaon,31,80,BMW 3 Series,7,1,51.88265316198755,1,1,0,1,Aspiring Techie,15,Hot Lead,Immediate Sales Call
52,38,Mumbai,25,50,BMW X3,13,0,54.89605368697366,1,1,1,1,Aspiring Techie,10,Buyer,Service Package Offer
53,57,Mumbai,39,12,BMW X3,7,0,81.20178713514973,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
54,61,Pune,21,62,BMW X1,9,1,82.23162137193552,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
55,25,Mumbai,38,15,BMW X1,2,0,47.18877598604596,1,1,1,2,Window Shopper,10,Buyer,Service Package Offer
56,23,Pune,29,52,BMW X1,9,0,40.824824124654256,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
57,27,Delhi,6,34,BMW X3,4,0,45.35251971277656,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
58,63,Mumbai,18,99,BMW 3 Series,1,0,80.71266149374165,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
59,25,Delhi,35,58,BMW 3 Series,9,0,36.411960284923296,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
60,50,Bangalore,27,38,BMW i4,5,0,67.37459310562396,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
61,39,Pune,5,66,BMW X5,1,0,56.84210454448529,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
62,47,Bangalore,7,72,BMW X3,14,0,72.35568903488024,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
63,55,Mumbai,10,60,BMW X1,3,0,72.19553330027821,0,0,0,0,Luxury Veteran,0,Cold Lead,Brand Awareness
64,31,Delhi,10,49,BMW X5,14,0,39.094916473177264,0,0,0,2,Window Shopper,0,Cold Lead,Brand Awareness
65,57,Mumbai,28,52,BMW X1,2,1,85.567605210754,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
66,35,Bangalore,36,45,BMW X5,0,1,49.69526720165841,1,1,1,2,Window Shopper,15,Buyer,Service Package Offer
67,52,Mumbai,10,51,BMW X5,7,0,72.08297000030608,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
68,36,Gurgaon,35,28,BMW 3 Series,7,0,58.23813149043375,1,1,1,2,Window Shopper,10,Buyer,Service Package Offer
69,29,Bangalore,35,4,BMW i4,0,1,50.65596423912693,1,1,1,2,Window Shopper,15,Buyer,Service Package Offer
70,35,Mumbai,37,66,BMW i4,11,0,47.436280189401174,1,1,1,1,Aspiring Techie,10,Buyer,Service Package Offer
71,44,Delhi,20,73,BMW X1,5,1,64.1418411250037,0,0,1,1,Aspiring Techie,5,Buyer,Service Package Offer
72,61,Mumbai,13,94,BMW X3,11,1,90.16626916746179,0,0,1,0,Luxury Veteran,5,Buyer,Service Package Offer
73,42,Delhi,11,74,BMW i4,0,0,60.61239421732192,0,0,0,1,Aspiring Techie,0,Cold Lead,Brand Awareness
74,37,Gurgaon,19,80,BMW X3,12,0,59.9354505211324,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
75,39,Mumbai,28,39,BMW X1,8,1,57.62765463714726,1,1,1,2,Window Shopper,15,Buyer,Service Package Offer
76,45,Gurgaon,38,71,BMW X3,0,0,69.50780913119907,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
77,47,Bangalore,4,1,BMW X5,14,0,73.05691708360749,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
78,46,Delhi,37,67,BMW X5,2,0,73.87342304883892,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
79,62,Bangalore,19,61,BMW X1,8,0,86.77061743679232,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
80,50,Delhi,37,79,BMW X3,0,1,68.0408258100439,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
81,36,Gurgaon,14,57,BMW X3,14,0,54.575222339456054,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
82,22,Pune,31,84,BMW X1,1,0,38.06268177917793,1,1,0,1,Aspiring Techie,10,Hot Lead,Immediate Sales Call
83,46,Mumbai,28,68,BMW i4,3,1,65.25617516226356,1,1,0,0,Luxury Veteran,15,Hot Lead,Immediate Sales Call
84,28,Gurgaon,36,57,BMW 3 Series,6,1,47.280667252049135,1,1,1,1,Aspiring Techie,15,Buyer,Service Package Offer
85,30,Delhi,38,34,BMW i4,7,1,48.83379325070181,1,1,1,2,Window Shopper,15,Buyer,Service Package Offer
86,45,Delhi,19,13,BMW 3 Series,0,0,65.41740848088536,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
87,22,Delhi,1,14,BMW X3,0,1,47.40474585637104,0,0,0,2,Window Shopper,5,Cold Lead,Brand Awareness
88,29,Delhi,23,5,BMW 3 Series,4,0,40.73440679943967,1,1,0,2,Window Shopper,10,Hot Lead,Immediate Sales Call
89,45,Mumbai,28,15,BMW 3 Series,7,1,65.83563979680193,1,1,1,2,Window Shopper,15,Buyer,Service Package Offer
90,32,Bangalore,4,86,BMW X3,14,0,48.44858300066796,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
91,38,Pune,18,94,BMW X5,0,1,46.37288159368746,0,0,1,1,Aspiring Techie,5,Buyer,Service Package Offer
92,29,Mumbai,39,45,BMW 3 Series,2,0,41.65463375248532,1,1,0,2,Window Shopper,10,Hot Lead,Immediate Sales Call
93,56,Delhi,25,62,BMW X1,5,0,70.13094476964245,1,1,0,0,Luxury Veteran,10,Hot Lead,Immediate Sales Call
94,56,Mumbai,18,11,BMW i4,12,0,81.37853609890888,0,0,0,0,Luxury Veteran,0,Aware,Retargeting Ads
95,54,Gurgaon,6,40,BMW X3,0,1,68.51414636450397,0,0,0,0,Luxury Veteran,5,Cold Lead,Brand Awareness
96,26,Delhi,19,18,BMW X3,13,1,34.32389226687743,0,0,0,2,Window Shopper,5,Aware,Retargeting Ads
97,63,Pune,12,75,BMW 3 Series,2,0,84.57448104220965,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
98,60,Delhi,25,76,BMW X5,11,0,80.26340127780996,1,1,1,0,Luxury Veteran,10,Buyer,Service Package Offer
99,62,Pune,35,1,BMW X5,0,1,82.41107278610959,1,1,1,0,Luxury Veteran,15,Buyer,Service Package Offer
100,49,Pune,1,19,BMW i4,3,0,63.357312681545125,0,0,1,0,Luxury Veteran,0,Buyer,Service Package Offer
101,28,Bangalore,5,94,BMW i4,8,0,48.0784043512557,0,0,1,1,Aspiring Techie,0,Buyer,Service Package Offer
102,30,Bangalore,1,8,BMW X5,12,1,45.12914064426795,0,0,1,2,Window Shopper,5,Buyer,Service Package Offer
103,29,Mumbai,8,20,BMW X5,4,0,49.662415970874164,0,0,1,2,Window Shopper,0,Buyer,Service Package Offer
104,33,Mumbai,39,7,BMW X5,13,0,44.67813008202978,1,1,0,2,Window Shopper,10,Hot Lead,Immediate Sales Call
105,55,Pune,18,38,BMW 3 Series,2,0,72.80358298348864,0,0,0,0,Luxury Veteran,0,Aware,Retargeting Ads
